cluster,is_weekend,hour,ratio
0,False,0,0.01165523258312483
0,False,1,0.006432265722269649
0,False,2,0.003451056614959275
0,False,3,0.003187572356565228
0,False,4,0.0020473852775645127
0,False,5,0.005878002780911576
0,False,6,0.015630567789074807
0,False,7,0.029364785103054906
0,False,8,0.03636695466103708
0,False,9,0.021287225508355934
0,False,10,0.017889901777287224
0,False,11,0.02236345671344905
0,False,12,0.027792319611123478
0,False,13,0.02937402924718957
0,False,14,0.032294710513333325
0,False,15,0.042582122623771375
0,False,16,0.06221475625246733
0,False,17,0.07678412757805866
0,False,18,0.06554883043576272
0,False,19,0.04684045040995612
0,False,20,0.03692293884123629
0,False,21,0.04562437552728099
0,False,22,0.03211451527414321
0,False,23,0.022526672636046782
0,True,0,0.012458475311217136
0,True,1,0.008798064134144684
0,True,2,0.005630682820577785
0,True,3,0.0030266371041534346
0,True,4,0.0017903184326566984
0,True,5,0.0015505513790168987
0,True,6,0.002620411142211733
0,True,7,0.0035567759927870855
0,True,8,0.006125780155946665
0,True,9,0.009705569145843251
0,True,10,0.0142456884806977
0,True,11,0.017333190088692652
0,True,12,0.020026754584342228
0,True,13,0.02103053200802488
0,True,14,0.02247916723769414
0,True,15,0.025779816795653897
0,True,16,0.028376872743032827
0,True,17,0.021889431331572576
0,True,18,0.018679972097589027
0,True,19,0.014755809843410538
0,True,20,0.011851657188750399
0,True,21,0.011933441778055442
0,True,22,0.01136430978892045
0,True,23,0.008815834576983915
1,False,0,0.00306798797294963
1,False,1,0.0015814546172268392
1,False,2,0.001060728251391099
1,False,3,0.0005782154681982947
1,False,4,0.0007344900570342906
1,False,5,0.003706419820939886
1,False,6,0.014224397790286452
1,False,7,0.0324283995881595
1,False,8,0.05127255102159269
1,False,9,0.031376178769592
1,False,10,0.02399649206302208
1,False,11,0.034892795386710924
1,False,12,0.04681528672835197
1,False,13,0.044774896057324855
1,False,14,0.05122483929689963
1,False,15,0.086913010617146
1,False,16,0.15966270569293237
1,False,17,0.13772023591825647
1,False,18,0.058646455155339665
1,False,19,0.02997897458026991
1,False,20,0.01867411435939131
1,False,21,0.013407531008069927
1,False,22,0.010106615789885249
1,False,23,0.006807867389518946
1,True,0,0.003043153308617238
1,True,1,0.001833056572317219
1,True,2,0.0011913399077175659
1,True,3,0.0007062577194565271
1,True,4,0.0005125475931233093
1,True,5,0.00044616382649478566
1,True,6,0.001262711629045366
1,True,7,0.0024223198772054303
1,True,8,0.0037999038688455093
1,True,9,0.005734887072503668
1,True,10,0.008436876569399012
1,True,11,0.009358766425280201
1,True,12,0.011078002576162427
1,True,13,0.010512229261019745
1,True,14,0.011023472647365007
1,True,15,0.010916745366494873
1,True,16,0.01144489425332397
1,True,17,0.009980399805816748
1,True,18,0.009203705240800275
1,True,19,0.006943618559544036
1,True,20,0.005046903946084075
1,True,21,0.00432387976187737
1,True,22,0.004206904035728849
1,True,23,0.0029186167752868254
2,False,0,0.005329706377047071
2,False,1,0.0028504627563499486
2,False,2,0.0017303208711296986
2,False,3,0.0012181954562243932
2,False,4,0.002742763260593405
2,False,5,0.008169711867830992
2,False,6,0.022122953167129412
2,False,7,0.04755534764960145
2,False,8,0.0593129069629489
2,False,9,0.03450039066543439
2,False,10,0.028144720814909017
2,False,11,0.031171736106561265
2,False,12,0.034915404902191395
2,False,13,0.03500171894150694
2,False,14,0.03508052920374656
2,False,15,0.0429216345453968
2,False,16,0.05658565715766509
2,False,17,0.07423128800355845
2,False,18,0.06568317691066176
2,False,19,0.04501624767982597
2,False,20,0.029933897573148953
2,False,21,0.02174780921782662
2,False,22,0.015279027177698691
2,False,23,0.009845615178141559
2,True,0,0.00564417217782139
2,True,1,0.0035563744028426986
2,True,2,0.002217728633055253
2,True,3,0.0011849405066821238
2,True,4,0.0009929364168404361
2,True,5,0.0015097345799698772
2,True,6,0.0032669829734464613
2,True,7,0.0055774516258332765
2,True,8,0.009564195622580108
2,True,9,0.014670661772572575
2,True,10,0.019130082912641882
2,True,11,0.022496447992959186
2,True,12,0.02375892675617455
2,True,13,0.023903955887265904
2,True,14,0.023800700406577665
2,True,15,0.02367711546166575
2,True,16,0.02286998422820054
2,True,17,0.02052685295510164
2,True,18,0.018576434990308997
2,True,19,0.013951647991541418
2,True,20,0.009725491940516655
2,True,21,0.007557447224268503
2,True,22,0.006275612237654871
2,True,23,0.004472897856349504
